Recipe:
2-Bean Chili Recipe - Allrecipes.com
1.0,pound,ground beef
1.0,whole,green bell pepper
1.0,whole,white onion
2.0,tablespoon,chili powder
0.25,teaspoon,pepper
3.0,cup,vegetable juice
15.0,ounce,kidney bean
15.0,ounce,white bean
1.0,whole,sour cream
1.0,whole,green onion
1.0,whole,cheddar cheese
1.0,whole,roma tomato

Recipe:
6 Can Chili Recipe - Allrecipes.com
2.0,teaspoon,vegetable oil
1.0,pound,ground turkey
14.5,ounce,roma tomato
16.0,ounce,chili bean
15.0,ounce,pinto bean
15.0,ounce,kidney bean
28.0,ounce,refried bean
6.0,ounce,tomato paste
0.25,cup,cheddar cheese
0.25,cup,sour cream

Recipe:
All-Bran Simple Way Chili Recipe - Allrecipes.com
1.0,pound,ground beef
1.0,whole,white onion
2.0,whole,green bell pepper
28.0,ounce,roma tomato
14.0,ounce,roma tomato
4.0,teaspoon,chili powder
0.25,teaspoon,garlic powder
0.25,teaspoon,salt
1.0,pinch,pepper
19.0,ounce,kidney bean
1.0,cup,gin

Recipe:
Alligator Chili Recipe - Allrecipes.com
1.0,tablespoon,olive oil
1.0,whole,green bell pepper
1.0,whole,white onion
2.0,pound,alligator meat
28.0,ounce,roma tomato
32.0,ounce,vegetable juice
15.0,ounce,black bean
15.0,ounce,kidney bean
1.0,tablespoon,green chile
1.0,tablespoon,chili powder
1.0,teaspoon,cumin
1.0,teaspoon,cinnamon
1.0,teaspoon,paprika
1.0,teaspoon,celery salt
0.5,teaspoon,ginger
1.0,dash,salt and pepper
1.0,dash,chile sauce

Recipe:
Amateur's Light Breeze Chicken Chili Recipe - Allrecipes.com
20.0,ounce,chicken
32.0,ounce,chili bean
43.5,ounce,roma tomato
12.0,ounce,jalapeno
1.0,whole,white onion
2.0,whole,green bell pepper
1.5,tablespoon,chili powder
2.0,tablespoon,cumin
10.0,cup,water
14.5,ounce,chicken broth
1.0,dash,salt

Recipe:
Amazing Hawaiian Chicken Chili Recipe - Allrecipes.com
2.0,pound,chicken
1.0,cup,barbeque sauce
2.0,tablespoon,butter
1.0,whole,white onion
2.0,clove,garlic
1.0,whole,cayenne pepper
6.0,ounce,tomato paste
3.0,tablespoon,chili powder
1.0,tablespoon,chili powder
1.0,tablespoon,cumin
1.0,teaspoon,ginger
1.0,tablespoon,vanilla
0.5,teaspoon,white sugar
20.0,ounce,pineapple
15.0,ounce,kidney bean
15.0,ounce,black bean
28.0,ounce,roma tomato
24.0,ounce,salsa
1.0,dash,salt and pepper

Recipe:
Anytime Chili Recipe - Allrecipes.com
1.0,pound,steak
24.0,ounce,roma tomato
1.0,cup,chili
15.0,ounce,pinto bean
15.0,ounce,kidney bean
6.0,ounce,tomato paste

Recipe:
Atomic Canuck Chili Recipe - Allrecipes.com
2.0,pound,ground beef
